PORTE DE COVID-19 ECUADOR,,,,,,,,
,Esmeraldas,"643,654",,,,,,
Fecha,Contagiados,Muertos,Fallecidos Probables,,Jonathan Medina,,,
6/29/2020,775,151,-,,,,,
6/28/2020,750,151,-,,,,,
6/27/2020,739,151,-,,,,,
6/26/2020,720,145,-,,,,,
6/25/2020,712,140,-,,,,,
6/24/2020,705,139,-,,,,,
6/23/2020,680,137,-,,,,,
6/22/2020,653,135,-,,,,,
6/21/2020,645,133,-,,,,,
6/20/2020,644,130,-,,,,,
6/19/2020,630,129,-,,,,,
6/18/2020,620,126,-,,,,,
6/17/2020,615,124,-,,,,,
6/16/2020,610,122,-,,,,,
6/15/2020,590,120,-,,,,,
6/14/2020,579,118,-,,,,,
6/13/2020,550,117,-,,,,,
6/12/2020,546,116,-,,,,,
6/11/2020,525,115,-,,,,,
6/10/2020,519,114,-,,,,,
6/9/2020,510,113,-,,,,,
6/8/2020,503,113,-,,,,,
6/7/2020,495,113,-,,,,,
6/6/2020,476,113,-,,,,,
6/5/2020,465,113,-,,,,,
6/4/2020,434,113,-,,,,,
6/3/2020,533,112,-,,,,,
6/2/2020,520,111,-,,,,,
6/1/2020,428,110,-,,,,,
May-20,,,,,,,,
Fecha,Contagiados,Muertos,Fallecidos Probables,,,,,
5/31/2020,398,109,-,,,,,
5/30/2020,390,105,-,,,,,
5/29/2020,380,101,-,,,,,
5/28/2020,345,95,-,,,,,
5/27/2020,340,87,-,,,,,
5/26/2020,320,85,-,,,,,
5/25/2020,315,82,-,,,,,
5/24/2020,310,75,-,,,,,
5/23/2020,300,74,-,,,,,
5/22/2020,290,65,-,,,,,
5/21/2020,284,61,-,,,,,
5/20/2020,279,58,-,,,,,
5/19/2020,278,52,-,,,,,
5/18/2020,274,47,-,,,,,
5/17/2020,260,45,-,,,,,
5/16/2020,258,44,-,,,,,
5/15/2020,251,42,-,,,,,
5/14/2020,240,41,-,,,,,
5/13/2020,230,40,-,,,,,
5/12/2020,225,40,-,,,,,
5/11/2020,221,40,-,,,,,
5/10/2020,220,40,-,,,,,
5/9/2020,219,40,-,,,,,
5/8/2020,217,40,-,,,,,
5/7/2020,215,40,-,,,,,
5/6/2020,213,40,-,,,,,
5/5/2020,212,40,-,,,,,
5/4/2020,211,39,-,,,,,
5/3/2020,210,39,-,,,,,
5/2/1900,209,38,-,,,,,
5/1/2020,208,37,-,,,,,
Apr-20,,,,,,,,
Fecha,Contagiados,Muertos,Fallecidos Probables,,,,,
4/30/2020,167,-,-,,,,,
4/29/2020,160,-,-,,,,,
4/28/2020,155,-,-,,,,,
4/27/2020,147,-,-,,,,,
4/26/2020,140,-,-,,,,,
4/25/2020,136,-,-,,,,,
4/24/2020,134,-,-,,,,,
4/23/2020,130,-,-,,,,,
4/22/2020,129,-,-,,,,,
4/21/2020,125,-,-,,,,,
4/20/2020,120,-,-,,,,,
4/19/2020,115,-,-,,,,,
4/18/2020,110,-,-,,,,,
4/17/2020,96,-,-,,,,,
4/16/2020,93,-,-,,,,,
4/15/2020,90,-,-,,,,,
4/14/2020,85,-,-,,,,,
4/13/2020,80,-,-,,,,,
4/12/2020,77,-,-,,,,,
4/11/2020,73,-,-,,,,,
4/10/2020,65,-,-,,,,,
4/9/2020,54,-,-,,,,,
4/8/2020,42,-,-,,,,,
4/7/2020,37,-,-,,,,,
4/6/2020,35,-,-,,,,,
4/5/2020,32,-,-,,,,,
4/4/2020,25,-,-,,,,,
4/3/2020,20,-,-,,,,,
4/2/2020,15,-,-,,,,,
4/1/2020,18,-,-,,,,,
Mar-20,,,,,,,,
Fecha,Contagiados,Muertos,Fallecidos Probables,,,,,
3/31/2020,17,-,-,,,,,
3/30/2020,17,-,-,,,,,
3/29/2020,17,-,-,,,,,
3/28/2020,17,-,-,,,,,
3/27/2020,15,-,-,,,,,
3/26/2020,14,-,-,,,,,
3/25/2020,13,-,-,,,,,
3/24/2020,13,-,-,,,,,
3/23/2020,13,-,-,,,,,
3/22/2020,13,-,-,,,,,
3/21/2020,13,-,-,,,,,
3/20/2020,13,-,-,,,,,
3/19/2020,10,-,-,,,,,
3/18/2020,-,-,-,,,,,
3/17/2020,-,-,-,,,,,
3/16/2020,-,-,-,,,,,
3/15/2020,-,-,-,,,,,
3/14/2020,-,-,-,,,,,
3/13/2020,-,-,-,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
